,Unnamed: 0,sentences,name,country,page,languages,legible,results,classes
3558,4721,"pmksy funds will be provided to the state governments as per the pattern of assistance of centrally sponsored schemes decided by ministry of finance and nit aayog. during 201 5 1 6, existing pattern of assistance of ongoing schemes will be continued. ",Guidelines_English _PMKSY,39,8,en,"Pmksy funds will be provided to the state governments as per the pattern of assistance of centrally sponsored schemes decided by ministry of finance and nit aayog. During 2015-16, existing pattern of assistance of ongoing schemes will be continued.",0.485497020597151,i
3826,62210,profits from forest go to fps do shrank voluntary labour and contribute to village common fund building a common fund maintenance of money in a bank account full rights of collection and marketing of ntfps village assets improved ,JFM Forest Management Guidelines 1990,39,41,en,Profits from forest go to FPS do shrank voluntary labour and contribute to village common fund building a common fund maintenance of money in a bank account full rights of collection and marketing of NTFPS village assets improved,0.498874074184086,i
3888,15139,"opening savings bank account with bank.enabling shg members to obtain loans from banks,and repaying the same.",JFM Forest Management Guidelines 1990,39,51,en,"Opening savings bank account with bank.enabling SHG members to obtain loans from banks,and repaying the same.",0.474336868245068,i
4019,16135,1 3.9 arrange necessary funds required for expenditure from the forest department and other departments  organizations.,JFM Forest Management Guidelines 1990,39,69,en,13.9 arrange necessary funds required for expenditure from the forest department and other departments  organizations.,0.4674761944443189,i
4060,10371,"what is the collateral security for the bank?6. rbi rules stipulate that no collateral security should be taken from shgs by banks. collateral security is not necessary for the loans sanctioned to shgs because the members of shgs know that the bank loan is  their own money like savings. they are aware that they are jointly responsible for  the repayment. therefore, they exert moral pressure on the  borrowing members for repayment. because of this, the bank gets a much better  repayment from the shgs.",JFM Forest Management Guidelines 1990,39,82,en,"What is the collateral security for the bank?6. Rbi rules stipulate that no collateral security should be taken from SHGS by banks. Collateral security is not necessary for the loans sanctioned to SHGS because the members of SHGS know that the bank loan is  their own money like savings. They are aware that they are jointly responsible for  the repayment. Therefore, they exert moral pressure on the  borrowing members for repayment. Because of this, the bank gets a much better  repayment from the shgs.",0.45549286214027396,i
4090,93110,"9. all the income that accrues to the                                name of the group from interest on savings, interest on loans, including the emergency fund plus returns from penalties and fees will be re invested in the                                name of the group fund.",JFM Forest Management Guidelines 1990,39,85,en,"9. All the income that accrues to the ------------------------------ name of the group from interest on savings, interest on loans, including the emergency fund plus returns from penalties and fees will be re-invested in the ------------------------------ name of the group fund.",0.48404060671071997,i
4407,61610,2. a bank specified in column 2 of the first schedule to the banking companies 3. a finance corporation owned and controlled by a state government. ,Mineral Concession Rules 1960_0,39,148,en,2. A bank specified in column 2 of the first schedule to the banking companies 3. A finance corporation owned and controlled by a state government.,0.498550200028201,n
4726,22144,"# indicate the names of the lending institutions such as state finance corporation, industrial development and other public corporations, co operative banks, nationalised banks and other sources along with the amount of loan from each source and the rate of interest at which loan hasinterest paid during the year ii rents excluding surface rent paid during the year 1. quantity and cost of material consumed during the year iv explosives furnish full details in part iv ",Mineral Conservation and Dev Rules_2017,39,104,en,"# indicate the names of the lending institutions such as state finance corporation, industrial development and other public corporations, co-operative banks, nationalised banks and other sources along with the amount of loan from each source and the rate of interest at which loan hasinterest paid during the year ii rents excluding surface rent paid during the year 1. Quantity and cost of material consumed during the year iv explosives furnish full details in part iv",0.503166372953176,n
5700,81315,"3.2 1.4 in order to make soft loans available for intensive forestry works in suitable areas, 'madhya pradesh forest finance corporation' will be established with the cooperation of central and state government. ",MP_3_Madhya Pradesh State Forest Policy 2005,39,26,en,"3.21.4 in order to make soft loans available for intensive forestry works in suitable areas, 'madhya pradesh forest finance corporation' will be established with the cooperation of central and state government.",0.555345388621375,i
5703,111120,3.2 1.7 suitable efforts shall be made to seek financial assistance from the national and the international institutions. ,MP_3_Madhya Pradesh State Forest Policy 2005,39,26,en,3.21.7 suitable efforts shall be made to seek financial assistance from the national and the international institutions.,0.497501333911378,i
5704,12821,"3.2 1.8 in order to obtain funds from private individuals  organisations for development of forests of the state, green madhya pradesh fund will be established. efforts will be made to get introduced provision of income tax exemption on contribution towards this fund by private individuals  organisations. ",MP_3_Madhya Pradesh State Forest Policy 2005,39,26,en,"3.21.8 in order to obtain funds from private individuals  organisations for development of forests of the state, green madhya pradesh fund will be established. Efforts will be made to get introduced provision of income tax exemption on contribution towards this fund by private individuals  organisations.",0.47749293897206,i
5711,51514,"with the objective of providing the state proportionate resources at the national level, it is necessary to introduce the system of natural resource accounting, so that efforts could be made to provide resources for forest conservation and management matching the contribution of direct and indirect benefits of the forests in the gross domestic product. moreover, to mobilize financial and other resources it is also necessary to encourage private investment and also mobilize resources from other sources, such as environment tax, water tax, external grants, loans, etc. it is also necessary to attract private investment to augment the productivity of the most degraded government forests. ",MP_3_Madhya Pradesh State Forest Policy 2005,39,3,en,"With the objective of providing the state proportionate resources at the national level, it is necessary to introduce the system of natural resource accounting, so that efforts could be made to provide resources for forest conservation and management matching the contribution of direct and indirect benefits of the forests in the gross domestic product. Moreover, to mobilize financial and other resources it is also necessary to encourage private investment and also mobilize resources from other sources, such as environment tax, water tax, external grants, loans, etc. It is also necessary to attract private investment to augment the productivity of the most degraded government forests.",0.538009716122059,i
5730,22225,2.1 7 attracting private investment for the afforestation work on a large scale in the forestry sector. ,MP_3_Madhya Pradesh State Forest Policy 2005,39,6,en,2.17 attracting private investment for the afforestation work on a large scale in the forestry sector.,0.47503340561779106,i
5814,15230,"whereas it is expedient to encourage the establishment of warehouses for storing agricultural produce and to make provision for their proper supervision and control; it is hereby enacted as follows 1 the main problem of agricultural credit in india is how to make adequate short term finance available to the agriculturist at a reasonable rate of interest. in view of the special responsibility placed on the reserve bank of india in regard to agricultural credit, the bank has been anxious to make within the scope of the reserve bank of india act, credit more extensively available to agriculturists on reasonable terms. section 1 74d of the reserve bank of india act provide that the reserve bank may make loans and advances repayable on demand or on the expiry of fixed periods not exceeding ninety days against security of promissory note of any schedule banks or provincial co operative bank supported by documents of title to goods which have been transferred, assigned or pledged to any such banks as security for cash credit or overdraft granted for bona fide commercial or trade transactions or for the purpose of financing seasonal operations on the marketing of crops. ",", 1986",39,118,en,"Whereas it is expedient to encourage the establishment of warehouses for storing agricultural produce and to make provision for their proper supervision and control; it is hereby enacted as follows 1 the main problem of agricultural credit in india is how to make adequate short-term finance available to the agriculturist at a reasonable rate of interest. In view of the special responsibility placed on the reserve bank of india in regard to agricultural credit, the bank has been anxious to make within the scope of the reserve bank of india act, credit more extensively available to agriculturists on reasonable terms. Section 174d of the reserve bank of india act provide that the reserve bank may make loans and advances repayable on demand or on the expiry of fixed periods not exceeding ninety days against security of promissory note of any schedule banks or provincial co-operative bank supported by documents of title to goods which have been transferred, assigned or pledged to any such banks as security for cash credit or overdraft granted for bona fide commercial or trade transactions or for the purpose of financing seasonal operations on the marketing of crops.",0.47235121177744205,i
5871,3058,1 3. maintenance of and operation upon bank account investment of the corporation.   ,", 1986",39,128,en,13. Maintenance of and operation upon bank account investment of the corporation.--,0.5433742689290759,n
5874,25418,"1 any funds of the corporation not required for current expenditure may be placed in fixed deposits with the reserve bank of india, state bank of india or any scheduled or cooperative bank approved in this behalf by the state government or invested in the name of the corporation in the securities of the state government or the central government. ",", 1986",39,129,en,"1 any funds of the corporation not required for current expenditure may be placed in fixed deposits with the reserve bank of india, state bank of india or any scheduled or cooperative bank approved in this behalf by the state government or invested in the name of the corporation in the securities of the state government or the central government.",0.511412704027338,n
6098,291110,"197 0, the agricultural re finance corporation established under the agricultural re ",", 1986",39,186,en,"1970, the agricultural re-finance corporation established under the agricultural re-",0.5423368348401361,n
6307,2723,"financing bank regarding advancing of loans, including the provision of mortgage of property, and recovery thereof shall apply in relation to the amount of cost to be recovered from each owner of land, as they apply in relation to advancing of loans and recovery thereof, including interest, as if such owner was a borrower of such bank. the transfer of the rights and liabilities and payments made in accordance therewith shall discharge the owner of land his liability to make payment to the state government under this act, but to the extent only of his liability accepted by the concerned financing bank. ",", 1986",39,231,en,"Financing bank regarding advancing of loans, including the provision of mortgage of property, and recovery thereof shall apply in relation to the amount of cost to be recovered from each owner of land, as they apply in relation to advancing of loans and recovery thereof, including interest, as if such owner was a borrower of such bank. The transfer of the rights and liabilities and payments made in accordance therewith shall discharge the owner of land his liability to make payment to the state government under this act, but to the extent only of his liability accepted by the concerned financing bank.",0.450271522354469,d
7046,5533,"a with the prior approval of the state government issue and sell bonds and debentures, and other securities carrying interest;borrow money and accept deposits from central government, the state government, any bank or financial institution and with the approval of the state government, from a corporate body or from any other person. ",", 1986",39,418,en,"A with the prior approval of the state government issue and sell bonds and debentures, and other securities carrying interest;borrow money and accept deposits from central government, the state government, any bank or financial institution and with the approval of the state government, from a corporate body or from any other person.",0.513060459724782,i
7086,3134,n establishment and management of provident fund or other benefit funds forgenerally for the efficient conduct of the affairs of the nigam. ,", 1986",39,426,en,N establishment and management of provident fund or other benefit funds forgenerally for the efficient conduct of the affairs of the nigam.,0.4805730295615271,i
7098,1758,7 6. power to make grants or loans for construction of private irrigation works. ,", 1986",39,43,en,76. Power to make grants or loans for construction of private irrigation works.,0.519128787270032,i
7609,1401,"8 there shall be formed for each irrigation panchayat a fund to be called the irrigation panchayat fund, and the money recovered by way of composition under this rule shall be placed to the credit of this fund. ",", 1986",39,84,en,"8 there shall be formed for each irrigation panchayat a fund to be called the irrigation panchayat fund, and the money recovered by way of composition under this rule shall be placed to the credit of this fund.",0.494330135115469,i
7832,62312,"action required 1. the nation should have 1 5 per cent of the forest budget allocated for wildlife conservation and other related issues. planners and economists must be convinced that enhanced allocations to ensure national ecological security and biodiversity conservation is a wise economic investment that will improve the quality of life of the poor, even as it strengthens the economy in the long run. 2. a working link must be created between the moef, ministry of finance and the planning commission to ensure adequate and timely financial allocations as above, perhaps along the lines of the drda. 3. state governments must be convinced to allow assistance by the central government to be used by the park authorities directly on the pattern of drda. 4. planning commission should be convinced to earmark funds for wildlife conservation under state plans. ",national_wildlife_action_plan_2002_2016_2,39,37,en,"Action required 1. The nation should have 15 per cent of the forest budget allocated for wildlife conservation and other related issues. Planners and economists must be convinced that enhanced allocations to ensure national ecological security and biodiversity conservation is a wise economic investment that will improve the quality of life of the poor, even as it strengthens the economy in the long run. 2. A working link must be created between the moef, ministry of finance and the planning commission to ensure adequate and timely financial allocations as above, perhaps along the lines of the drda. 3. State governments must be convinced to allow assistance by the central government to be used by the park authorities directly on the pattern of drda. 4. Planning commission should be convinced to earmark funds for wildlife conservation under state plans.",0.455683104489635,i
7861,5277,"priority projects 1.1 initiate briefing sessions discussions with members of parliament, various ministries, the prime minister and his office, the planning commission, the national development council and the committee of secretaries, either individually or collectively, on the economic importance of protecting and sustainably using, not over exploiting, our natural treasury. similarly, briefing sessions should be held with chief ministers, finance ministers, home ministers and agriculture ministers of statesuts. timing to start in 200 2 and ongoing. responsibility moef. 1.2 state wildlife wings will carry out similar briefing discussions with panchayat raj institutions and other grassroots level institutions involved in the field of rural development. timing to start in 200 2 and ongoing. responsibility states and uts. 1.3 preparation of a report accessing policies and action plans of other related ministries to provide guidelines for the planning commission, which would help to harmonise other sectoral activities outside pas. timing to start in 200 2 and ongoing. responsibility moef, planning commission, state governments and scientific institutions. ",national_wildlife_action_plan_2002_2016_2,39,40,en,"Priority projects 1.1 initiate briefing sessions discussions with members of parliament, various ministries, the prime minister and his office, the planning commission, the national development council and the committee of secretaries, either individually or collectively, on the economic importance of protecting and sustainably using, not over-exploiting, our natural treasury. Similarly, briefing sessions should be held with chief ministers, finance ministers, home ministers and agriculture ministers of statesuts. Timing to start in 2002 and ongoing. Responsibility moef. 1.2 state wildlife wings will carry out similar briefing discussions with panchayat raj institutions and other grassroots level institutions involved in the field of rural development. Timing to start in 2002 and ongoing. Responsibility states and uts. 1.3 preparation of a report accessing policies and action plans of other related ministries to provide guidelines for the planning commission, which would help to harmonise other sectoral activities outside pas. Timing to start in 2002 and ongoing. Responsibility moef, planning commission, state governments and scientific institutions.",0.46141138020464895,n
7889,211101,"at the central government level, moef is the focal point for biodiversity conservation, as well as the nodal ministry for all environment and forest related matters. biodiversity being a multi disciplinary subject, several other ministries departments and affiliated agencies at the central and state levels are also undertaking biodiversity related programmes. at the central level, the ministries departments of agriculture, health, water resources, rural development, power, industry, new and renewable energy, urban development, science and technology, and others have important programmes relating to biodiversity.",NBAP 2008,39,15,en,"At the central government level, moef is the focal point for biodiversity conservation, as well as the nodal ministry for all environment and forest related matters. Biodiversity being a multi-disciplinary subject, several other ministries departments and affiliated agencies at the central and state levels are also undertaking biodiversity related programmes. At the central level, the ministries departments of agriculture, health, water resources, rural development, power, industry, new and renewable energy, urban development, science and technology, and others have important programmes relating to biodiversity.",0.45815324534184904,n
7961,19330," to ensure higher resource flows, comprising finance, technology management skills, traditional knowledge, and social capital, for biodiversity conservation through mutually beneficial stakeholder partnerships between local communities, public agencies, the academic and research community, investors, and multilateral and bilateral development partners.",NBAP 2008,39,32,en,"To ensure higher resource flows, comprising finance, technology management skills, traditional knowledge, and social capital, for biodiversity conservation through mutually beneficial stakeholder partnerships between local communities, public agencies, the academic and research community, investors, and multilateral and bilateral development partners.",0.563408221575673,i
7964,11438, to factor in natural resource accounting nra in the national economic planning processes and encourage financial institutions to adopt appropriate nra appraisal practices so that risks to biological diversity are adequately considered in the financing of projects.,NBAP 2008,39,33,en,To factor in natural resource accounting nra in the national economic planning processes and encourage financial institutions to adopt appropriate nra appraisal practices so that risks to biological diversity are adequately considered in the financing of projects.,0.47277618546779104,i
8045,81218," encourage adoption of science based, and traditional sustainable land use practices, through research and development, extension of knowledge, pilot scale demonstrations, and large scale dissemination including farmer's training, and where necessary, access to institutional finance.",NBAP 2008,39,47,en,"Encourage adoption of science-based, and traditional sustainable land use practices, through research and development, extension of knowledge, pilot scale demonstrations, and large scale dissemination including farmer's training, and where necessary, access to institutional finance.",0.46526439280548,i
8182,30413," promote entrepreneurship development, public private partnership particularly in agro   food processing, self help groups and wadding workers for undertaking village based activities and micro financing.",NBAP 2008,39,59,en,"Promote entrepreneurship development, public private partnership particularly in agro - food processing, self help groups and wadding workers for undertaking village based activities and micro-financing.",0.47669158844151793,i
8217,32108,"notable progress in this area notwithstanding, concerted efforts are now required to further improve bilateral, regional and multilateral cooperation, as also cooperation with un agencies and other international organizations on issues related to biodiversity. there is also a need to enhance our own capacities to comply with commitments, and ensure sustained flow of resources for biodiversity management.",NBAP 2008,39,64,en,"Notable progress in this area notwithstanding, concerted efforts are now required to further improve bilateral, regional and multilateral cooperation, as also cooperation with un agencies and other international organizations on issues related to biodiversity. There is also a need to enhance our own capacities to comply with commitments, and ensure sustained flow of resources for biodiversity management.",0.45564670684546,i
8218,48111," develop projects for accessing funds for conservation and sustainable use of biodiversity from external sources, earmarked for conservation through bilateral, regional and other multilateral channels.",NBAP 2008,39,64,en,"Develop projects for accessing funds for conservation and sustainable use of biodiversity from external sources, earmarked for conservation through bilateral, regional and other multilateral channels.",0.5719768214116421,i
8220,25012,"since many of the activities envisioned in the nbap are ongoing, these would be taken up and mainstreamed under the ambit of existing schemes and programmes by the central and state governments, public and private sector as well as civil society organizations, securing full utilization of available infrastructure and funds, with marginal to substantial augmentation and further inputs, wherever required. in addition, sources of external funding would also be explored and availed of, in accordance with the extant policies and regulations. thus, no separate scheme or allocation for implementation of nbap is envisaged.",NBAP 2008,39,65,en,"Since many of the activities envisioned in the nbap are ongoing, these would be taken up and mainstreamed under the ambit of existing schemes and programmes by the central and state governments, public and private sector as well as civil society organizations, securing full utilization of available infrastructure and funds, with marginal to substantial augmentation and further inputs, wherever required. In addition, sources of external funding would also be explored and availed of, in accordance with the extant policies and regulations. Thus, no separate scheme or allocation for implementation of nbap is envisaged.",0.462627695975977,i
