label	sentences	class
91	however, the vision 203 0 does not address climate change adequately, but it does refer to climate change adaptation in the context of building capacity as part of environmental management. one of the specific aims stated under environmental management is the goal to attract at least five clean development mechanisms cdm projects per year in the next five years.	n
92	climate change also presents opportunities for developing countries like kenya, which can avoid the high emission path that developed countries have pursued to attain their present high economic status. the carbon market, where it is possible to trade carbon credits, presents an opportunity for developing countries to raise additional revenues for ghg emission reducing projects that also contribute to sustainable development. there are two types of carbon markets and both are relevant to kenya. the two markets arethe clean development mechanism cdm compliance market under the kyoto protocol and ii voluntary carbon markets vcm, which emerged to fulfil the demand from organisations and businesses that wish to offset their carbon emissions voluntarily. it should be noted that presently, most developing countries in africa have not benefited from carbon markets because of their complexity, trading conditions, investments and general lack of capacity and knowledge in developing countries. therefore, for kenya to benefit from these markets, intense capacity building particularly at the community level will be required.	i
93	specific recommendations that can enable kenya to benefit from redd opportunities includerobust monitoring, reporting and verification mirv institutional arrangements clear credible national forest monitoring baselines and guidelines,filling the historical data gaps on forest cover throughout the country,addressing the risk of non permanence and leakage as a necessary condition for any parties or entities to participate in a redd mechanism and activities,assistance with methodology development especially on redd, which has the potential to not only mitigate climate change but also support livelihoods, maintain vital ecosystem services, and preserve globally significant biodiversity,need for financial support, technology transfer and provision for capacity building especially | among forest dependent communities, and= joint action involving both the public and private sectors in order to mobilise the necessary finance and accelerate redd actions.	i
94	key issues that have continued to shape the global climate change regime are also explained in this chapter of the strategy. these include mitigation, adaptation, finance, technology development and transfer, governance as well as the role of land use and land use change and forestry  in climate change mitigation especially in developing countries.	n
95	that are easy to understand and use. there is need to have well developed ict infrastructure and skills to facilitate effective dissemination of climate change information and education. the government should develop a website on climate change issues and all the relevant information, programmes, projects, related to climate change and establish one stop resource centres which should be equipped with climate change material,  dissemination of credible and reliable climate change information and research findings the government should put in place strategic planning and public review processes to facilitate credible fact finding on a key climate science issues,comprehensive climate and ecosystem observing and data management systems, andthe development of decision support resources,  supporting public debate on climate change issues by promoting parliamentary public hearings, participatory policymaking initiatives at both central and local level, and a vibrant civil society, and  developing a comprehensive communications plan the government needs to develop a comprehensive communications implementation plan and funding plan, based on an inventory of existing communication activities and building on experience from several short term pilot projects to determine and shape ongoing effective communication strategies.	n
96	in view of the risks and opportunities presented by climate change, enhanced capacity building is required to strengthen capability of developing countries like kenya which have very few climate change specialists in the areas of science, policy, adaptation, mitigation carbon trading and carbon markets. therefore, it is important to put in place a targeted capacity building framework, and build the capacity of local communities to help them adapt to the adverse impacts of climate change. further, the actions being recommended in the strategy will require people with adequate necessary skills to implement.	n
97	in line with the uns acting on climate change, the un system delivering as one report, the following are as some of the key critical areas for kenya where capacity building should be targetedregional and sub regional preparatory workshops for climate change negotiators where kenya would participate with other developing countries, sids and ldcs, on the  negotiation process,technical and policy support to kenya as a party to the  for preparing its national communications,  support to the country in its efforts to implement  decisions through country driven approaches,  awareness raising, development of communication tools, training and planning workshops at local, national, regional and global levels,  capacity building and support for the modernisation and development of national meteorological services e.g. the kenya meteorological department and gad climate prediction and applications centre icpac,mobilising and enhancing the capacity of the government, employers and workers organisations to contribute to coherent policies and effective programmes leading to greening economies with green jobs, 4 6 0 2 emissions from fuel combustion only. emissions are calculated using ideas energy balances and the revised 199 6 ipecac guidelines. also, see chapter 4 under mitigation for ghg emission trends together we can tackle climate change	n
98	  providing a role for national leadership in international policy dialogue e.g. for the national adaptation platform, mainstreaming disaster risk reduction err and adaptation e.g. putting measures to reduce poverty and empower marginal communities through   tackling underlying _vulnerability poverty as detailed by the vision 203 0 especially important for slow onset disasters,   mainstreaming risk and adaptation within the government plans and budgets,   using the development of a national adaptation platform as a tool to mainstream climate change adaptation, initiate systematic development programmes and enhance national partnership with un agencies,   investing in climate proofing development agenda and increasing awareness of err in projects,   investing in local adaptive capacity e.g. invest in projects that protect livelihood assets like special water management projects in arid lands which could facilitate cross   sectoral and multi scale coordination, promoting flexibility in approaches to disaster risk management through   regularly updating risk plans and information,   decentralising responsibilities and skills,   ensuring community _ participation e.g. through skills sharing forums initiatives, and creating financial mechanisms for disaster management and invest in regional partnerships through   the use of the national disaster management policy to facilitate the introduction of disaster trust funds, risk transfer mechanisms and formal donor partnerships,   building on regional partnerships to share costs and expertise, and pool resources at the district level with the engagement of ngos, private sector and government special projects, if necessary through regulation,   investing in institutional capacity building, collaborative projects and networks to increase awareness on international funding and strengthen links with development banks and donor agencies,   the use of international funding opportunities e.g. from the gee to fund large scale adaptation projects. assisting kenya to improve its level of participation in the cdm, and supporting the identification of policy options that enable the rural poor to engage in climate change mitigation by building the foundation for pro poor payment for ecosystem service markets. supporting education, training, information exchange, best practices and national strategy initiatives related to the development and applications of access to stateof the art climate friendly technologies, creation of regional networks of climate change focal points in governments to promote exchange of experience and knowledge on technology transformation, training programmes and capacity building together we can tackle climate change	i
99	 capacity building seminars workshops in different regions to assist promote implementation of new standards aiming at the reduction of ghg emissions through radio capacity building to enhance reduced emissions from deforestation and degradation redd programmes in developing cone capture opportunities offered by the un redd programme and forest carbon partnership facility as well as the redd	n
100	disaggregated data to update the gender development index;establishment of gender research and documentation centre the sub sector will establish and equip the centre with requisite resources;establishment of integrated one stop sexual and gender based violence response centers in all healthcare facilities in kenya. the proposed centers will offer medical, legal and psychosocial support to victims of sgbv;public awareness campaign against fgm, early and forced marriages the sub sector will develop and implement a national sexual and gender based violence policy and operationalize the gm act 201 1.the sub sector will work closely with the national gender and equality commission to issue sanctions and recommend prosecution on gender discrimination cases. womens empowerment the following specific interventions will be undertakenimplementation of the 3 0 percent public procurement preference for women entrepreneurs the sub sector will carry out a public awareness campaign on the provisions of the public procurement and disposable [preference and reservation] regulations 201 3 for women;implementation of the uwezo fund; the sub sector will seek to expand access to finances and promote women led enterprises at the constituency level through the uwezo fund;women enterprise fund the sub sector will seek to review the funds product and services, re brand and re launch the women enterprise fund.establishment of the single registry for all cs pf initiatives;support to persons with albinism pwa; and scale up the national development fund for pwds this fund will provide assistance to persons with disabilities for their socio economic empowerment. it will also support infrastructure improvement to institutions providing services to pads and capacity building for disabled persons organizations.	i
101	infrastructure the second mtp will build on successes of the first mtp. new investments will include cheaper and adequate electricity; local and regional rail and road networks that provide safe, efficient and cost effective transport; adequate water for households and industry; affordable quality housing and sustainable environmental management. industrialisation the kenyan economy is still reliant primarily on agriculture and services. the growing consumer demand for manufactured goods has been met mainly by imports. the government will facilitate growth of the manufacturing sector; make agriculture competitive and diversify the economy for employment creation. the government will also support local entrepreneurs to increase their share in local and external markets through better supply chain and making local enterprises more price competitive in order to serve a growing local, regional and continental market. improved trade the country will focus on expanding trade to increase its share in the fast expanding regional and other emerging markets. trade in the broader region will be backed by joint infrastructural investments with neighboring countries. during the plan period, the government will facilitate research in business development and entrepreneurship under a new entity called sharia kenya to provide funding and leverage investment from local banks. this will develop capacity and productivity of local manufacturing geared to competitively priced quality exports to africa and the global market.	i
102	investment to support growth the strategies in the second mtp are designed to increase investment to gdp ratio by investing prudently in key sectors. land reforms and registration will be undertaken to make land a productive asset. in addition, new initiatives will be undertaken to encourage the financial sector mobilize savings and improve resource allocation to key growth sectors.	i
103	competitiveness and rebalancing growth to make kenya globally competitive, the government will increase investment in expansion, development and modernisation of roads, rail, ports, ict and telecommunications in order to make kenya a top logistics hub. in addition, priority will be given to development of the lamu port, southern sudan and ethiopia transport  corridor and the oil, gas and other mineral resources sector to spur higher economic growth. priority will also be given to implementing the national ict master plan 201 2 201 7, and the implementation of reforms to improve world bank. the opp act will be operationalized to facilitate private sector investment in infrastructure in order to enhance efficiency and competitiveness of the economy.	i
104	governance and public financial management reforms the public financial management act 201 2 will be implemented with the aim of exercising controls in public spending and improving the quality of public expenditure through full implementation of the integrated public financial management systems miffs at national and county levels. further training of public officials involved in budgeting and expenditure at both levels of government will be undertaken. reforms in public financial management will be guided by transparency, cost efficiency better delivery of public services, and accountability to the public on taxation and the use of public funds.	i
105	the second mtp will integrate the sdgs for the post 201 5 which includeending extreme poverty and hunger;achieve development and prosperity for all without ruining the environment;ensure learning for all children and youth;achieving gender equality and reduce inequalities;achieve health and well being at all ages;increasing agricultural production in an environmentally sustainable manner, to achieve food security and rural prosperity;make cities productive and environmentally sustainable;curb human induced climate change with sustainable energy;protect ecosystems and ensure sound management of natural resources; andimprove governance and align business behavior with all the goals. during the second mtp period and beyond, measures will be taken to realign kenyas foreign policy with the nations international trade objectives. these include more training of staff in trade analysis and negotiation techniques, deepening economic and commercial diplomacy, regional integration, bilateral and multilateral partnerships to increase market share in traditional export destinations, penetration of new markets in emerging economies as well as enhancing the role of private sector in regional integration initiatives. additionally, the realigned foreign policy will link regional peace and security with kenyas economic and commercial diplomacy interests and ensure the diplomatic presence in all african region and new emerging economies. kenyas foreign policy shall also be directed towards promoting nairobi as a diplomatic centre, international economic hub, and venue for multi lateral diplomacy.	n
106	youth enterprise fund the sub sector will seek to review the funds product and services, re brand and re launch the youth enterprise fund.	i
107	these factors contributed to low attainment of projected gdp growth, and investment and savings targets. in addition, the slow implementation of key economic reforms, such as the policy and legal framework for public private partnerships pops enacted at the end of the plan period, and absence of legislative framework for establishment of special economic zones partly explains the missed sectoral investment and growth targets in agriculture, industry and service sectors of the economy.	d
108	the realignment of kenyas foreign policy and international relations is expected to promote and diversify kenyas economic partnerships and trade. this will boost economic growth by targeting alternative markets including those in the african region.	n
109	on the domestic front, kenya is implementing major legal and institutional reforms that will provide a better environment for sustained macro economic stability and improved management of public resources. these include the public finance management act 201 2; the county governments act 201 2; the urban areas and cities act 201 1, national government coordination act 201 3, and transition to devolved governments act 201 2. in addition, the government is continuing to deepen reforms in the judiciary, police and land sectors. these reforms will enhance administration of justice, governance, law and order, and provide the country with a more conducive environment for doing business, promote investment, growth and employment creation. foreign direct investment is expected to increase especially following the recent discovery of oil, gas, rare earth minerals and coal. in addition, the country will maximize its geographical comparative advantage through implementation of the  corridor project, modernisation of the port of mombasa, construction of a standard gauge railway from mombasa to malaba, and expansion of homo kenyatta international airport to serve as the regional airport hub. construction of the ethiopia power interconnectivity line, to source cheaper hydropower, and completion of the solaria iv by 201 4 and other geothermal energy projects are also expected to boost growth through supply of cheaper and reliable power.	n
110	the growth strategy will also benefit from exploitation of green growth opportunities such as the use of carbon credits especially in reforested catchment towers, clean energy use in geothermal, hydro, wind and solar power, the promotion of natural products initiatives, promotion of resource efficiency and clean production systems. during the plan period, the 4 7 counties are also expected to attract investment and emerge as regional growth hubs.	i
111	services sector is expected to grow from about 6.5 per cent in 201 3 to about 1 0 per cent by 201 7. the sector will benefit from sustained growth in tourism, ict, and related businesses such as business process outsourcing bpos, and expansion of regional trade and transport services. in addition, the financial sector is expected to expand rapidly as business confidence improves and as new strategies to boost savings are implemented. the establishment of the financial services center during the plan period is expected to further improve the sectors growth, and to attract more local and international firms in the sector.	n
112	the government will pursue prudent macroeconomic policies to ensure fiscal and debt sustainability. the debt to gdp ratio is projected to decline to 3 9.2 per cent by 201 7201 8 from 4 3.9 per cent in 201 31 4. the implementation of the contributory pension scheme for public servants the public service superannuation act, 201 2 will enhance domestic savings and reduce government contingent liabilities. tax reforms will be given priority including enhancing compliance and broadening the tax base. these will be supported through the implementation of integrated tax management system its and revamping enforcement mechanisms.	i
113	the government will continue to borrow from domestic and external sources with the latter being largely on concessional terms and will aim at a 3 07 0 ratio of domestic to external financing. this will ensure that the private sector is not crowded out in the credit market and that government projects are financed at lower costs. the government will also issue a debut sovereign bond at the international markets within the second mtp period. this bond will primarily finance infrastructure development in the country, help the government diversify its investor base, establish a pricing benchmark for future issuance by both the public and private sector, and promote kenyas reputation and visibility in the international investor community.	i
114	as part of the employment creation strategy, the government willinitiate labour intensive public works programs;facilitate establishment of special economic zones and industrial parks; andexploit green employment opportunities in organic products industries, organic farming, resource efficient and clean production, renewable energy, forestry, environmental planning and urban waste management. over the plan period, rationalisation of the public service will continue. the government aims at an efficient, effective and accountable public service that will adopt innovative ways to deliver public services including leveraging on ict.	n
115	note employment targets were based on the 200 1 201 1 elasticity defined as per cent increase in employment level for every one per cent increase in gdp levels as follows agriculture 0.4 3; industry 0.5 0; and services 0.7 5 source ministry of devolution and planning, the national treasury provide a framework and necessary guidance on wage levels, wage formation and adjustment mechanisms and other wage administration issues to reduce incidences of industrial disputes. kenyas global ranking on the world banks ease of doing business indicators fell from 72 nd position in 200 8 to 121 st position in 201 2. the government is committed to reversing this trend, and the overall goal is to ensure that by the end of the plan period the country rank among the top 5 0 countries in the both ease of doing business ranking and the world economic forums global competitiveness index. the government will, thus speed up implementation of structural and institutional reforms and put in place the necessary enabling legislation in all sectors to enhance efficiency and competitiveness and investment.	i
116	implementation of the strategy for public finance management reforms fmri 201 3 201 8 will enhance transparency and accountability for improved service delivery. the public procurement and disposal act, 200 5 will be reviewed to address procurement bottlenecks and build capacity at the national and county government levels. ict initiatives such as the re engineered ifmis, nimes, e promis, and e government will be fast tracked and cascaded to the devolved government level to ensure faster project implementation, and monitoring and evaluation.	n
117	to improve the quality of data, the following surveys and censuses will be carried out within the period of the second mtplabour force survey;census of business establishments ; andgeneration of county statistical profiles. tax reforms are key to enhancing the government's revenue capacity to finance development programmes and projects. kenya revenue authority ark will continue to benchmark its services to the standards of selected upper middle income countries so as to meet the international best practices.	n
118	the realisation of the objectives and targets of the second mtp hinges on successful implementation of the enablers or foundations. these include infrastructure roads, rail network, sea ports airports and pipeline; information communication and technology ict; science technology and innovation st&l; land reforms; human resource development, labour and employment; security; public sector reforms; national values and ethics; and ending drought emergencies ede. this chapter outlines the policies, programmes and projects planned for implementation during the plan period.	n
119	3.2 information and communications technology ict strengthening the foundation for a knowledge economy	n
120	in line with the priorities outlined in the jubilee coalition manifesto agenda for kenya 201 3 1 7 and beyond the plan aims at accelerating economic growth putting the economy on a higher, inclusive and sustainable growth trajectory leading to a double digit gdp growth rate within the five year period. to realize these goals and secure our countrys prosperity, the government will in the course of this plan period implement measures to strengthen our economic competitiveness through accelerated governance and public sector reforms and by increasing government spending on expansion, and modernisation of our railways, roads, ports, airports, energy, water and the ict and telecommunications infrastructure. to further enhance efficiency and competitiveness of our economy, the government will devote more investment to infrastructure and to the key sectors of the economy that will drive growth particularly through public private partnerships arrangements.	n
121	the jubilee government was elected into office on a platform that prioritises job creation and increasing youth employment over the plan period and expanding kenyas area under irrigation in order to increase agricultural productivity and food security. the policy mechanisms for realizing these objectives are contained in this medium term plan. a commercialized agriculture with high value addition remains our key priority. at the same time, the government will establish disease free zones in our livestock producing areas, working in cooperation with the county governments concerned, to support higher productivity and processing of animal products for domestic consumption and exports. similar efforts will be made to increase value addition and employment in fisheries and in the exploitation of our rich marine resource. in order to meet the goals of job creation, value addition in agriculture, fisheries and livestock, and export diversification, the government will, therefore, establish special economic zones in partnership with private investors to support increased manufacturing and exports with high value added. to meet the demand for skilled jobs in these and other sectors, priority will also be accorded to programmes targeting training and apprenticeships to meet the demand for human resource skills required by the transformation of the kenya economy which is central to this medium term plan. as the education and training sections of this plan demonstrate, this will be accomplished through a variety of programmes under the social pillar. the government will also strengthen youth employment and entrepreneurship through credit, financial assistance and training. this will enable recipients to acquire skills and engage in productive employment on their own or as suppliers to the larger enterprises in the public or private sectors.	n
122	coordination of the technology, innovation and commercialisation programme the government will implement knowledge management information system kmis, innovative technology transfer system and undertake science, technology and innovation indicators surveys that will include development and adoption of kenyan common science, technology and innovation indicators and establishment of an african sch observatory.	n
123	performance contracting and performance appraisal systems. other reforms focused on transformative leadership, structured stakeholder engagement, public financial management, and mainstreaming gender and disability issues.	n
124	some of the challenges faced includehigh expectations of citizens on public service delivery;inadequacy of some specialized skills and incentives necessary for implementation of vision 203 0 projects.inadequate linkage between, budgeting, planning and results.inadequate budgetary support for public sector reformsweak monitoring and evaluation of public sector reforms the proposed programmes and projects will have the potential for the creation of a public service that upholds integrity, innovation, creativity, diversity and inclusiveness for efficient service delivery.	n
125	enable large and medium taxpayers make online filing of their returns as well as online payments. it will also reduce the frequency of payments made in a year and thereby improve kenyas ranking as a preferred investment payments of taxes via mobile money common cash receipting system cars as a common revenue collection platform in ark will be enhanced and rolled out to cover all business systems. in addition, cars will be fully integrated with ck and appointed commercial banks for seamless flow of revenue collection information. cars will be enhanced to incorporate electronic payment of taxes e pay and mobile banking.	i
126	transfer pricing to prevent loss of revenue and foreign exchange through transfer pricing the authority will review the governance structure of the transfer pricing programme, enhance the transfer pricing risk assessment, implement an alternative dispute resolution strategy, build up the authority third party information base and sources and strengthen tax information exchange agreements and partnerships.	i
127	implement the strategy for taxation of mining sector the increasing activities in the mining sector are a pointer to the potential of the sector to contribute substantially to the economy and government revenue. this follows the recent discovery of various mineral resources in the country. ark will put in place the requisite mechanisms and framework to collect increased revenue from this emerging sector.	i
128	restructuring of the kenya foreign service institute the foreign service institute, established in 200 7, will be transformed to a foreign service academy and semi autonomous government agency in order to tackle the increasingly complex international and regional diplomatic processes. it will also enhance the skills and knowledge of members of the foreign service, making them more professional, effective and able to perform a variety of tasks.	n
129	government in consultation with county governments will formulate a policy framework that will guide performance of public service institutions.	n
130	the national sports lottery fund the fund will provide a tool for raising funds targeting sports development. the lottery fund will have the potential to inject more than ksh50 0 million into the sports budget annually. the funds raised will be used for development of the less developed sports in the country to increase the diversity and to supplement the budgets of major sports events. in addition, the funds will be used to train the necessary technical personnel, increase the award scheme to enhance competitiveness of the countrys sports men and women.	i
131	implementing devolution is a theme that runs through this medium term plan. the plans political pillar outlines measures to support devolution and the legislation that will be enacted to implement it as required by the constitution. the government is committed to supporting devolution with financial and human resources and in building capacity within county governments. the plan is also committed to the continued implementation of the judicial transformation framework, and to widen access to justice for all kenyans. the government believes that justice and observation of human rights are integral parts of improving governance and the rule of law. over the five year plan period, the government will therefore expand, equip and modernize the security agencies to ensure that every kenyan is assured of his or her safety and that of their property. improved security will also contribute to a better environment for doing business in kenya, bring in more international tourists, and investment into our country. the pay and conditions of service for security personnel will be improved and measures will be put in place to support community policing and invest in cctv and other technology to improve security.	n
132	foreign employment management, orientation and re entry programmes the government will develop orientation and re entry programmes to prepare and sensitize kenyan immigrants on the nature of jobs abroad, their terms and conditions; the rights, obligations and remedies of the workers in case of violations; and pre departure preparations for the job seekers. guidelines on employment of foreigners and on registration and accreditation of private employment agencies will be developed reviewed and enforced. the government will also enter into bilateral agreements with key labour destination countries. transformation of the national social security fund nsf to a pension scheme the nsf will be transformed into a social insurance pension scheme. the transformation will seek to increase coverage of the nssf, improve adequacy of benefits provided by the nssf, provide benefits in the form of pension, retain a link between benefits and contributions with the benefits largely being determined on a defined contribution basis, and ensure sustainability and affordability of social security.	n
133	e finalisation and implementation of the national policy on youth polytechnics and the vocational sector ;reviewing the national youth policy 200 7;development and implementation of a policy on youth talent, identification and nurturing; anddevelopment and implementation of a national youth volunteerism policy.finalise and implement the foreign and diplomatic service representation bill, 201 3;enactment and implementation of the national productivity council bill, 201 1;enactment and implementation of the work injury compensation bill, 201 3;alignment of the labour laws to the constitution ;enactment and implementation of the national youth enterprise development authority bill;youth societies and youth development bill;capacity building for the occupational safety and health fund; andtransformation of the national social security fund to social insurance pension scheme. national value and ethics are highly emphasized in the constitution. they enable the nation to build a tolerant culture based on diversity that gives top preference to the common nationhood.	n
134	the ministry of devolution and planning under the presidency has under this plan, outlined an implementation framework through which it will work closely with the national treasury and other government ministries, the county governments, constitutional commissions and independent offices to ensure that projects and programmes contained in this plan are completed with efficiency and on time. in consultation with the transition authority, this ministry has published county profiles containing the latest data on the geographic, resources, economic and social data of the counties. these documents provide basic information to county governments in preparing their county integrated development plans ciders as required under the constitution and under the public finance management act 201 2. under the law, county budgeting is to be guided by the cidps. my ministry has in addition prepared guidelines on the preparation of county integrated development plans to help the counties meet that objective. to strengthen county planning, ministry of devolution and planning will also provide financial and human resources to county governments to enable them build the capacity to ensure that county integrated development plans are used to guide the county medium term expenditure framework and annual budgets.	n
135	flagship projects the sector will implement the following flagship programmes  projects implementation of the consolidated agricultural reform legislations this includes preparation of necessary regulations to actualize implementation of the acts and setting up institutions such as the agriculture, fisheries and food authority affa; and the kenya agricultural research organization karo proposed in the new acts. additionally, efforts will be made to fast track passing of the livestock and fisheries bills in parliament. fertilizer cost reduction strategy this will address issues of access and affordability of fertilizer. having identified and short listed potential investors, the process of establishing a local fertilizer plant will be hastened. similarly, the identification of a private investor for blending will also be undertaken.	i
136	agri business development programme this programme is geared towards improving access to markets by all agricultural value chain players as well as improving and modernizing market facilities. it will further transform agricultural marketing functions through value chain development and strengthening producer and marketing systems. under this programme agricultural product development will be done through value addition programmes. the programme will ensure creation of local, regional and international marketing opportunities for agricultural commodities.	i
137	agricultural credit and financial services access programme this programme aims at improving access of agricultural credit and insurance to agricultural value chain players.	i
138	the government has been implementing four flagship projects during the first mtp namely establishment of special economic zones, creation of producer business groups, creation of wholesale hubs and tier 1 retail markets. these projects have however achieved little progress in their implementation because of inadequate budgetary allocations, the challenge of acquiring appropriate land and absence of enabling legislative framework..	d
139	our experience in the past has shown the need to link national policies, planning and budgeting more tightly. the ministry of devolution and planning will therefore work closely with the national treasury to ensure that the tefl and subsequent annual budgets are aligned with the second medium term plan 201 3 1 7 to ensure successful implementation of the plan and the governments priorities.	n
140	value chains and inadequate utilitieswater, energy;inadequate business development support services beds including business trade information, consultancy, counselling and aftercare services;limited access to trade finance for mses   access to affordable trade finance is crucial to the growth of trade sector;long and cumbersome process of acquisition of public land for development projects;influx of counterfeit goods.stringent technical requirements rules of origin in the export markets;inadequate capacity to develop new products, innovation, inventions and value addition on produced goods;under funding of export related activities;erosion of advantages accrued from preferential trade arrangements;minimal market and product diversification. building wholesale hub markets construction of one pilot wholesale hub in marabou to serve as a model for the private sector.	d
141	development and institutionalization of capacity building and training programmes on technology, value addition and business procurement negotiation skills for traders associations and their members producer business groups business membership organizations.	n
142	revitalization of joint loans board scheme through carrying out socio  economic impact assessment, establishing enabling legal and institutional framework and enhanced funding.	i
143	e  review of the value added tax bill to simplify vat administration, increase compliance and revenue collection.review of the anti counterfeit act to address emerging issues in counterfeiting and product piracy.develop e trade policy. the policy will provide framework for expansion of domestic and export trade.develop a framework for effective linkages and collaboration mechanism between government, private sector fora, non state actors sans and development partners.adopt cluster development approach to programmes and projects within the trade sector to enhance competitiveness.	n
144	progress made in implementing other programmes and projects include development of a strategy paper on training of engineers; 8 0 one village one product ovoid projects were started in 1 1 pilot districts; construction of 18 8 cidc; finalization of drafting of the anti dumping bill; establishment of a one stop shop for business licensing, registration and taxation; fast tracking the expansion, modernization and maintenance of roads, rail, airports, seaports and ict networks to industrial areas and to areas with high potential for industrial development and development of technologies that are cognizant of climate change low emissions of harmful gases. legal and institutional reforms these included enactment of the anti counterfeit act, 200 8, restructuring kenya industrial training institute and establishment of kenya accreditation services kenas.	n
145	access to financial services for industrial development access to long term financing is limited and this has inhibited the competitiveness and growth of the manufacturing sector.	d
146	budget allocation inadequate budgetary allocation of development funds has hampered the implementation of the various programmes and projects.	d
147	development of time and industrial parks time and industrial parks will be developed in each of the 4 7 counties to attract new companies, expand employment opportunities to citizens and attract fdi. the parks will offer infrastructure and shared resources such as power supply, telecommunication hubs, management offices and internal transportation.	n
148	cooperatives development the government will strengthen cooperatives to enhance collective marketing, mobilization of financial resources and technological transfer.	i
149	the growth in the global business outsourcing industry has opened a new window for kenya to exploit a new growth area for the business process outsourcing bop and it enabled services ites. the kenya vision 203 0 identified bop as a priority sector under economic pillar to create over 2 0,00 0 jobs and contribute over 1 0 per cent to gdp. to achieve this goal, the government is implementing various initiatives that include improving universal access to icts, promotion of the bpoites, capacity building, development of digital content, roll out of e government services and promotion of ict based industries among others.	n
150	the legal notice on the establishment of bonanza technopolis development authority rotunda and the board were gazetted and operationalized. marketing campaigns have been undertaken at 8 international venues and local media campaigns have also been done. access to financial services especially on money transfers has improved substantially. mobile money applications have enabled financial inclusion of un bankable incomes since allowing it through banking and withdrawal of small amounts. payments of bills, pensions and other small transactions are done through mobile money like m pesa, m shwari, m kesho, orange money and air tel money.	i
151	most of the bop companies in kenya face various challenges that impede their growth and development. this include inability of small firms to enjoy economies of scale; lack of comprehensive policy; regulatory and incentive framework to attract investors; small talent pool; lack of marketing; rigid labour laws for export services; lack of a formalized one stop shop to facilitate the ease of doing business; competition from other countries offering competitive prices due to their comparative advantage occasioned by availability of cheap broadband infrastructure; and lack of knowledge development procedure in various bop companies workforce and other amenities. the government's goal over the plan period is to transform kenya into the opposites hub for east africa region and beyond, building on the progress achieved to connect every kenyan to the new infrastructure and harness ict for efficient and effective government, e commerce, economic growth and job creation for the youth.	d
152	4.6 financial services sector a vibrant and globally competitive financial sector driving high level of savings to finance kenyas investment needs.	i
153	the financial services sector fess is critical to achieving the 1 0 per cent annual average economic growth and requires that the sector drives a significant increase in investment through mobilising both domestic and international resources.	i
154	the goal for the sector will be achieved by deepening the financial markets through enhancing its access, efficiency, and stability. the fess consists of banking, capital markets, insurance, retirement benefitspensions, development finance and financial co operatives sac cos sub sectors.	i
155	as of december 201 2, the banking sector comprised of 4 4 banking institutions 4 3 commercial banks, 1 mortgage finance company, 8 deposit taking microfinance dim institutions, 5 representative offices of foreign banks, 11 2 foreign exchange bureaus, and 2 credit reference bureaus. the banking sector is regulated and supervised by ck under the provisions of the banking act, while dims are licensed and supervised under the provisions of the microfinance act.	n
