"","sentences","name","country","page","languages","legible","results"
"422","2. a person shall not be qualified for appointment as a member of the prisons service commission if he or she is president, vice president, a minister or deputy minister, a member of parliament or, save as provided in subsection 1and e, an officer in the malawi prisons service.","Constituion","Constituion","73","en","2. A person shall not be qualified for appointment as a member of the prisons service commission if he or she is president, vice-president, a minister or deputy minister, a member of parliament or, save as provided in subsection 1and e, an officer in the malawi prisons service.",0.2765943740651
"1017","1. there shall be an inspectorate of prisons which shall have such powers, functions and duties in relation to the malawi prisons service as are conferred on it by this constitution or an act of parliament.","Constituion","Constituion","73","en","1. There shall be an inspectorate of prisons which shall have such powers, functions and duties in relation to the malawi prisons service as are conferred on it by this constitution or an act of parliament.",0.164547912409783
"1718","4. the inspectorate of prisons shall cause to be laid before the national assembly such reports as the inspectorate of prisons may make and such reports shall be so laid through the minister responsible for prisons in the form of a motion for acceptance of the recommendations of the inspectorate of prisons.","Constituion","Constituion","73","en","4. The inspectorate of prisons shall cause to be laid before the national assembly such reports as the inspectorate of prisons may make and such reports shall be so laid through the minister responsible for prisons in the form of a motion for acceptance of the recommendations of the inspectorate of prisons.",0.193924303148611
"1815","5. where the recommendations of the inspectorate of prisons require amendment to any law, the minister shall lay before parliament those recommendations in the form of a bill.","Constituion","Constituion","73","en","5. Where the recommendations of the inspectorate of prisons require amendment to any law, the minister shall lay before parliament those recommendations in the form of a bill.",0.235711468610705
"1910","6. the powers conferred on the inspectorate for prisons by this section shall also be exercisable by the inspectorate of prisons with respect to holding cells in police stations.","Constituion","Constituion","73","en","6. The powers conferred on the inspectorate for prisons by this section shall also be exercisable by the inspectorate of prisons with respect to holding cells in police stations.",0.130612347076986
"1215","3. for the purposes of exercising its powers of nomination under subsection 1 c, the quorum of the prisons service commission shall consist of the majority of those in office at the time of the nomination.","Constituion","Constituion","74","en","3. For the purposes of exercising its powers of nomination under subsection 1 c, the quorum of the prisons service commission shall consist of the majority of those in office at the time of the nomination.",0.15615291381778
"1516","no tax, rate, duty, levy or imposition shall be raised, levied or imposed by or for the purposes of the government or any local government authority otherwise than by or under the authority of the law.","Constituion","Constituion","74","en","No tax, rate, duty, levy or imposition shall be raised, levied or imposed by or for the purposes of the government or any local government authority otherwise than by or under the authority of the law.",0.208455469110361
"1719","all revenues or other moneys raised or received for the purposes of the government shall, subject to this constitution and any act of parliament, be paid into and form one fund, to be known as the consolidated fund.","Constituion","Constituion","74","en","All revenues or other moneys raised or received for the purposes of the government shall, subject to this constitution and any act of parliament, be paid into and form one fund, to be known as the consolidated fund.",0.427366064027344
"423","b. where the issue of those moneys has been authorized by an appropriation act, a supplementary appropriation act or by an act made in pursuance of subsection 5 of this section or of sections 17 8, 17 9, 18 0, 18 1 or 18 2 or by a resolution of the national assembly made in accordance with section provided that this subsection shall not apply to any sums mentioned in section 18 3 3.","Constituion","Constituion","75","en","B. Where the issue of those moneys has been authorized by an appropriation act, a supplementary appropriation act or by an act made in pursuance of subsection 5 of this section or of sections 178, 179, 180, 181 or 182 or by a resolution of the national assembly made in accordance with section provided that this subsection shall not apply to any sums mentioned in section 183 3.",0.221178155264127
"519","2. where any moneys are charged by this constitution or by any act of parliament upon the consolidated fund, they shall be paid out of that fund by the minister responsible for finance to the person or authority to whom the payment is due.","Constituion","Constituion","75","en","2. Where any moneys are charged by this constitution or by any act of parliament upon the consolidated fund, they shall be paid out of that fund by the minister responsible for finance to the person or authority to whom the payment is due.",0.469458007361987
"618","3. no moneys shall be withdrawn from the consolidated fund except in the manner prescribed by the national assembly.","Constituion","Constituion","75","en","3. No moneys shall be withdrawn from the consolidated fund except in the manner prescribed by the national assembly.",0.291336914819276
"721","4. the investment of moneys forming part of the consolidated fund by way of deposit with a bank or such other secure investment as may be approved by the national assembly shall not be regarded as a withdrawal of those moneys from the consolidated fund for the purposes of this constitution.","Constituion","Constituion","75","en","4. The investment of moneys forming part of the consolidated fund by way of deposit with a bank or such other secure investment as may be approved by the national assembly shall not be regarded as a withdrawal of those moneys from the consolidated fund for the purposes of this constitution.",0.436153596918975
"919"," provided that no moneys shall be advanced from the consolidated fund under this subsection save on condition that they are repayable by the person or authority to whom or on behalf of whom they are advanced.","Constituion","Constituion","75","en","Provided that no moneys shall be advanced from the consolidated fund under this subsection save on condition that they are repayable by the person or authority to whom or on behalf of whom they are advanced.",0.368298178096824
"722","1. the minister responsible for finance shall lay before the national assembly a statement of the estimated receipts and the expenditure of the government in respect of that financial year, other than the sums specified in subsection 3.","Constituion","Constituion","76","en","1. The minister responsible for finance shall lay before the national assembly a statement of the estimated receipts and the expenditure of the government in respect of that financial year, other than the sums specified in subsection 3.",0.396920723032744
"820","2. the statement of estimates shall be laid before the national assembly in respect of every financial year and shall be so laid before the commencement of that financial year.","Constituion","Constituion","76","en","2. The statement of estimates shall be laid before the national assembly in respect of every financial year and shall be so laid before the commencement of that financial year.",0.251763651296016
"920","3. where the national assembly does not propose to debate the estimates until after the commencement of the financial year to which they relate, the estimates of the revenue may be laid before the national assembly at any time before the commencement of such debate.","Constituion","Constituion","76","en","3. Where the national assembly does not propose to debate the estimates until after the commencement of the financial year to which they relate, the estimates of the revenue may be laid before the national assembly at any time before the commencement of such debate.",0.310046402455837
"424","when the estimates of expenditure to be met from the consolidated fund, but not charged thereon, have been approved by the national assembly, a bill, to be known as an appropriation bill, shall be introduced in the assembly providing for the issue from the consolidated fund of the sums necessary to meet that expenditure and the appropriation of those sums, under separate votes for the several heads of expenditure approved, to the purposes specified in the bill.","Constituion","Constituion","77","en","When the estimates of expenditure to be met from the consolidated fund, but not charged thereon, have been approved by the national assembly, a bill, to be known as an appropriation bill, shall be introduced in the assembly providing for the issue from the consolidated fund of the sums necessary to meet that expenditure and the appropriation of those sums, under separate votes for the several heads of expenditure approved, to the purposes specified in the bill.",0.357604108741275
"1318","provided that provision for any moneys so withdrawn shall be included, under the appropriate heads, in the appropriation bill.","Constituion","Constituion","77","en","Provided that provision for any moneys so withdrawn shall be included, under the appropriate heads, in the appropriation bill.",0.312055477422315
"1517","1. the national assembly may make provision for the establishment of a contingencies fund and for authorizing the minister responsible for finance, if he or she is satisfied that there has arisen an urgent and unforeseen need for expenditure for which no other provision exists, to make advances from that fund to meet that need.","Constituion","Constituion","77","en","1. The national assembly may make provision for the establishment of a contingencies fund and for authorizing the minister responsible for finance, if he or she is satisfied that there has arisen an urgent and unforeseen need for expenditure for which no other provision exists, to make advances from that fund to meet that need.",0.418941947341049
"1620","2. where any advance is made from the contingencies fund, a supplementary estimate shall, as soon as practicable, be presented to and voted by the national assembly and a supplementary appropriation bill or motion approving such expenditure in accordance with section 17 7 shall be introduced for the purpose of replacing the amount so advanced.","Constituion","Constituion","77","en","2. Where any advance is made from the contingencies fund, a supplementary estimate shall, as soon as practicable, be presented to and voted by the national assembly and a supplementary appropriation bill or motion approving such expenditure in accordance with section 177 shall be introduced for the purpose of replacing the amount so advanced.",0.329616552582715
"425","18 0. raising of loans by the government 1. a loan may be raised by the government under the authority of an act of parliament and not otherwise.","Constituion","Constituion","78","en","180. Raising of loans by the government 1. A loan may be raised by the government under the authority of an act of parliament and not otherwise.",0.447287993569645
"521","2. parliament may, in the act authorizing the raising of a loan or by any other act, appropriate the proceeds of the loan for specific purposes and authorize the payment of such proceeds out of the consolidated fund for such purposes.","Constituion","Constituion","78","en","2. Parliament may, in the act authorizing the raising of a loan or by any other act, appropriate the proceeds of the loan for specific purposes and authorize the payment of such proceeds out of the consolidated fund for such purposes.",0.379130856808624
"723","1. an act of parliament may, subject to section 18 2, make provision for the creation of special funds which shall be accounted within the accounts of the consolidated fund and for the regulation or management of the moneys accounted in such special funds.","Constituion","Constituion","78","en","1. An act of parliament may, subject to section 182, make provision for the creation of special funds which shall be accounted within the accounts of the consolidated fund and for the regulation or management of the moneys accounted in such special funds.",0.456141222072897
"821","2. an act made in accordance with subsection 1 may provide that sections 17 5 1 and 17 5 4 shall not apply to any particular fund.","Constituion","Constituion","78","en","2. An act made in accordance with subsection 1 may provide that sections 175 1 and 175 4 shall not apply to any particular fund.",0.269728914853341
"921","3. parliament may make provisions regulating the manner in which moneys or investments held by the government subject to a trust are to be accounted for.","Constituion","Constituion","78","en","3. Parliament may make provisions regulating the manner in which moneys or investments held by the government subject to a trust are to be accounted for.",0.39758305035464
"1119","1. there shall be a special fund within the consolidated fund to be known as the development fund in which shall be accounted receipts and expenditure of the government relating to the development of the republic, which have not been included in the annual statement provided for in section 17 5, and estimates of such receipts and expenditure shall be submitted by the minister responsible for finance to the national assembly not less than once a year.","Constituion","Constituion","78","en","1. There shall be a special fund within the consolidated fund to be known as the development fund in which shall be accounted receipts and expenditure of the government relating to the development of the republic, which have not been included in the annual statement provided for in section 175, and estimates of such receipts and expenditure shall be submitted by the minister responsible for finance to the national assembly not less than once a year.",0.442573174989612
"1216","2. when the estimates of expenditure to be met from the development fund have been approved by the national assembly, a bill to be known as appropriation development fund bill shall be introduced in the national assembly providing for the issue from the development fund and appropriation of the sums necessary to meet that expenditure.","Constituion","Constituion","78","en","2. When the estimates of expenditure to be met from the development fund have been approved by the national assembly, a bill to be known as appropriation development fund bill shall be introduced in the national assembly providing for the issue from the development fund and appropriation of the sums necessary to meet that expenditure.",0.423698383235165
"1414","1. there shall be a special fund within the accounts of the consolidated fund, to be known as protected expenditure fund, upon which shall be charged certain protected expenditure.","Constituion","Constituion","78","en","1. There shall be a special fund within the accounts of the consolidated fund, to be known as protected expenditure fund, upon which shall be charged certain protected expenditure.",0.399709654425228
"1518","2. the minister responsible for finance shall, before the commencement of every financial year, make provision in the annual appropriation bill for the purpose of voting sums for the purposes of the fund under subsection 1 and such provision shall be passed without revision by the national assembly, save where it is insufficient to meet the expenditure to be charged for the purposes of the fund, in which case the national assembly may revise the bill so as to accommodate the expenditure to be charged.","Constituion","Constituion","78","en","2. The minister responsible for finance shall, before the commencement of every financial year, make provision in the annual appropriation bill for the purpose of voting sums for the purposes of the fund under subsection 1 and such provision shall be passed without revision by the national assembly, save where it is insufficient to meet the expenditure to be charged for the purposes of the fund, in which case the national assembly may revise the bill so as to accommodate the expenditure to be charged.",0.397119330765874
"619","2. the auditor general shall submit reports at least once a year to the national assembly, through the minister responsible for finance, not later than the first meeting of the national assembly after the completion of the report.","Constituion","Constituion","79","en","2. The auditor general shall submit reports at least once a year to the national assembly, through the minister responsible for finance, not later than the first meeting of the national assembly after the completion of the report.",0.324671136261742
"724","3. appointment to the office of auditor general shall be made by the president and confirmed by the national assembly by a majority of the members present and voting but the public appointments committee may at any time inquire as to the competence of the person so appointed to perform the duties of that office and as to the financial probity of a person so appointed, so far as it is relevant to the duties of that office.","Constituion","Constituion","79","en","3. Appointment to the office of auditor general shall be made by the president and confirmed by the national assembly by a majority of the members present and voting but the public appointments committee may at any time inquire as to the competence of the person so appointed to perform the duties of that office and as to the financial probity of a person so appointed, so far as it is relevant to the duties of that office.",0.2540734495653
"822","4. the office of the auditor general shall become vacant after the person holding that office has served for five years, but the person holding that office may be nominated for such further term not exceeding five years, as the president deems appropriate.","Constituion","Constituion","79","en","4. The office of the auditor general shall become vacant after the person holding that office has served for five years, but the person holding that office may be nominated for such further term not exceeding five years, as the president deems appropriate.",0.237028263219929
"1519","7. subject to subsection 6 in the exercise of the duties and powers vested in the office of the auditor general by this constitution or any other law, the person holding that office shall not be subject to the direction or control of any other person or authority.","Constituion","Constituion","79","en","7. Subject to subsection 6 in the exercise of the duties and powers vested in the office of the auditor general by this constitution or any other law, the person holding that office shall not be subject to the direction or control of any other person or authority.",0.216300385912776
"1621","8. no person or authority may inhibit the auditor general in the conduct of his or her functions and duties.","Constituion","Constituion","79","en","8. No person or authority may inhibit the auditor general in the conduct of his or her functions and duties.",0.243516224443698
"523","1. there shall be established by an act of parliament a central bank of the republic, known as the reserve bank of malawi which shall serve as the states principal instrument for the control of money supply, currency and the institutions of finance and shall serve generally in accordance with the normal functions of a central bank.","Constituion","Constituion","80","en","1. There shall be established by an act of parliament a central bank of the republic, known as the reserve bank of malawi which shall serve as the states principal instrument for the control of money supply, currency and the institutions of finance and shall serve generally in accordance with the normal functions of a central bank.",0.418289463013839
"620","2. the bank shall be controlled by a board which shall consist of a chairperson and members of the board who shall, subject to this constitution, be appointed in accordance with the act of parliament by which the bank is established.","Constituion","Constituion","80","en","2. The bank shall be controlled by a board which shall consist of a chairperson and members of the board who shall, subject to this constitution, be appointed in accordance with the act of parliament by which the bank is established.",0.276472726289858
"923","there shall be a civil service commission which shall have the powers and functions conferred upon it by this constitution or any act of parliament and which shall consist of a chairperson, deputy chairperson and not less than six nor more than ten other members.","Constituion","Constituion","80","en","There shall be a civil service commission which shall have the powers and functions conferred upon it by this constitution or any act of parliament and which shall consist of a chairperson, deputy chairperson and not less than six nor more than ten other members.",0.219201529747881
"1120","18 7. powers and functions of the civil service commission 1. subject to this constitution, power to appoint persons to hold or act in offices in the civil service, including the power to confirm appointments, and to remove such persons from office shall vest in the civil service commission.","Constituion","Constituion","80","en","187. Powers and functions of the civil service commission 1. Subject to this constitution, power to appoint persons to hold or act in offices in the civil service, including the power to confirm appointments, and to remove such persons from office shall vest in the civil service commission.",0.255403900829345
"1217","2. the civil service commission shall, subject to this constitution and any act of parliament, exercise disciplinary control over persons holding or acting in any office to which this chapter applies.","Constituion","Constituion","80","en","2. The civil service commission shall, subject to this constitution and any act of parliament, exercise disciplinary control over persons holding or acting in any office to which this chapter applies.",0.240299051587553
"1319","1. the civil service commission may, subject to such conditions as maybe laid down ban act of parliament, delegate powers under this section by directions in writing to any member of the commission or to any civil servant or public body.","Constituion","Constituion","80","en","1. The civil service commission may, subject to such conditions as maybe laid down ban act of parliament, delegate powers under this section by directions in writing to any member of the commission or to any civil servant or public body.",0.241842646008595
"426","iii. revoke directions delegating powers to any person or body provided that nothing in this section shall prejudice the right of any person who is the subject of a decision made by or on behalf of the civil service commission to appeal to the high court or the right of any person with sufficient interest in such a decision to petition the high court for judicial review of that decision.","Constituion","Constituion","81","en","Iii. Revoke directions delegating powers to any person or body provided that nothing in this section shall prejudice the right of any person who is the subject of a decision made by or on behalf of the civil service commission to appeal to the high court or the right of any person with sufficient interest in such a decision to petition the high court for judicial review of that decision.",0.185161139465346
"1622","2. unless otherwise provided by this constitution or by an act of parliament, the power to appoint persons to the public offices specified in paragraphs a toof subsection 1 shall vest in the president.","Constituion","Constituion","81","en","2. Unless otherwise provided by this constitution or by an act of parliament, the power to appoint persons to the public offices specified in paragraphs a toof subsection 1 shall vest in the president.",0.212230880796036
"1720","3. in any case where the civil service commission, the president or any other authority has the power of appointment of the clerk or the clerk assistant to the national assembly, before exercising that power, the commission, the president or any such other authority shall consult the speaker of the national assembly.","Constituion","Constituion","81","en","3. In any case where the civil service commission, the president or any other authority has the power of appointment of the clerk or the clerk-assistant to the national assembly, before exercising that power, the commission, the president or any such other authority shall consult the speaker of the national assembly.",0.251051114918253
"427","19 0. the appointment of diplomatic staff head of state powers ambassadors, high commissioners and such other principal diplomatic staff as shall be determined by an act of parliament shall be appointed by the president, subject to confirmation by the public appointments committee which may require persons so appointed to answer questions as to their competence and financial probity.","Constituion","Constituion","82","en","190. The appointment of diplomatic staff head of state powers ambassadors, high commissioners and such other principal diplomatic staff as shall be determined by an act of parliament shall be appointed by the president, subject to confirmation by the public appointments committee which may require persons so appointed to answer questions as to their competence and financial probity.",0.244370890100949
"621","1. the members of the civil service commission shall be appointed by the president, subject to satisfying the public service appointments committee as to the competence of persons so appointed to perform their duties as members of the civil service commission.","Constituion","Constituion","82","en","1. The members of the civil service commission shall be appointed by the president, subject to satisfying the public service appointments committee as to the competence of persons so appointed to perform their duties as members of the civil service commission.",0.227922122980162
"725","2. a person shall not be qualified for appointment as a member of the civil service commission if that person is president, vice president, a minister or deputy minister, a member of parliament or a serving civil servant.","Constituion","Constituion","82","en","2. A person shall not be qualified for appointment as a member of the civil service commission if that person is president, vice-president, a minister or deputy minister, a member of parliament or a serving civil servant.",0.286479721473741
"1218"," provided that nothing in this subsection shall prejudice the right of a member of the civil service commission who is removed to appeal to the high court against the decision to remove him or her.","Constituion","Constituion","82","en","Provided that nothing in this subsection shall prejudice the right of a member of the civil service commission who is removed to appeal to the high court against the decision to remove him or her.",0.177289582957087
"1320","1. if the office of chairperson of the civil service commission is vacant or the chairperson is for any reason unable to perform the functions of his or her office, then those functions shall be performed by the deputy chairperson until that vacancy is filled or the chairperson is able to resume his or her duties.","Constituion","Constituion","82","en","1. If the office of chairperson of the civil service commission is vacant or the chairperson is for any reason unable to perform the functions of his or her office, then those functions shall be performed by the deputy chairperson until that vacancy is filled or the chairperson is able to resume his or her duties.",0.226431332682504
"1415","2. if both the chairperson and the deputy chairperson are unable to perform their functions, then another of the members of the commission as may be designated in that behalf by the remaining members of the commission shall perform the functions of the chairperson.","Constituion","Constituion","82","en","2. If both the chairperson and the deputy chairperson are unable to perform their functions, then another of the members of the commission as may be designated in that behalf by the remaining members of the commission shall perform the functions of the chairperson.",0.23155170802928
"1623"," provided that the appointment of a person to act as a member of the civil service commission in accordance with this subsection shall lapse on his or her appointment as a full member of the commission in accordance with section 19 1 1, or until the office in which he or she is acting is filled after the public appointments committee has resumed sitting.","Constituion","Constituion","82","en","Provided that the appointment of a person to act as a member of the civil service commission in accordance with this subsection shall lapse on his or her appointment as a full member of the commission in accordance with section 191 1, or until the office in which he or she is acting is filled after the public appointments committee has resumed sitting.",0.169433764204541
"428","1. members of the civil service shall ensure that the exercise of participation in political activities does not compromise their independent exercise of their functions, powers and duties as impartial servants of the general public.","Constituion","Constituion","83","en","1. Members of the civil service shall ensure that the exercise of participation in political activities does not compromise their independent exercise of their functions, powers and duties as impartial servants of the general public.",0.245918773242752
"1121","4. no government or political party shall cause any civil servant, acting in that behalf to deploy resources, whether they be financial, material or human resources, for the purposes of promoting or undermining any political party or member of a political party or interest group, nor shall any civil servant acting in that behalf cause such deployment, save as prescribed by this constitution or an act of parliament consistent with the provisions of subsection 1.","Constituion","Constituion","83","en","4. No government or political party shall cause any civil servant, acting in that behalf to deploy resources, whether they be financial, material or human resources, for the purposes of promoting or undermining any political party or member of a political party or interest group, nor shall any civil servant acting in that behalf cause such deployment, save as prescribed by this constitution or an act of parliament consistent with the provisions of subsection 1.",0.332932134980913
"1219","5. any civil servant who contravenes this section shall be subject to such disciplinary measures as the civil service commission considers appropriate, taking into account the gravity and circumstances of the contravention, subject to such regulations as may be prescribed by an act of parliament.","Constituion","Constituion","83","en","5. Any civil servant who contravenes this section shall be subject to such disciplinary measures as the civil service commission considers appropriate, taking into account the gravity and circumstances of the contravention, subject to such regulations as may be prescribed by an act of parliament.",0.227487027991508
"1321","6. where the civil service commission is satisfied that a government or political party or member of a political party has acted in contravention of subsection 3 or subsection 4, the civil service commission may initiate proceedings before the high court for punitive damages and, in the case of a contravention of subsection 4, the recovery of such resources or sums equivalent to the benefit of the enjoyment of those resources from the government or political party or member of a political party who has so benefitted, as the case may be.","Constituion","Constituion","83","en","6. Where the civil service commission is satisfied that a government or political party or member of a political party has acted in contravention of subsection 3 or subsection 4, the civil service commission may initiate proceedings before the high court for punitive damages and, in the case of a contravention of subsection 4, the recovery of such resources or sums equivalent to the benefit of the enjoyment of those resources from the government or political party or member of a political party who has so benefitted, as the case may be.",0.23178990775093
"429","where a law confers power to appoint a board, commission, council, committee or similar body and to appoint, elect or designate the chairperson thereof, no person shall be appointed, elected or designated as chairperson of more than one such board, commission, council, committee or similar body.","Constituion","Constituion","84","en","Where a law confers power to appoint a board, commission, council, committee or similar body and to appoint, elect or designate the chairperson thereof, no person shall be appointed, elected or designated as chairperson of more than one such board, commission, council, committee or similar body.",0.214064976599668
"622"," xxi  of this  constitution amendment procedure parliament may amend this constitution in accordance with this chapter.","Constituion","Constituion","84","en","Xxi  of this  constitution amendment procedure parliament may amend this constitution in accordance with this chapter.",0.120788104922494
"1122","2. the parliament may pass a bill proposing an amendment to which the conditions set out in subsection 1 have been satisfied by a simple majority.","Constituion","Constituion","84","en","2. The parliament may pass a bill proposing an amendment to which the conditions set out in subsection 1 have been satisfied by a simple majority.",0.150185785135126
"1721","subject to section 19 6, parliament may amend those chapters and sections of this constitution not listed in the schedule only if the bill proposing the amendment is supported by at least two thirds of the total number of members of the national assembly entitled to vote.","Constituion","Constituion","84","en","Subject to section 196, parliament may amend those chapters and sections of this constitution not listed in the schedule only if the bill proposing the amendment is supported by at least two-thirds of the total number of members of the national assembly entitled to vote.",0.202988483858783
"726","this constitution shall have the status as supreme law and there shall be no legal or political authority save as is provided by or under this constitution.","Constituion","Constituion","85","en","This constitution shall have the status as supreme law and there shall be no legal or political authority save as is provided by or under this constitution.",0.193427412622413
"1021","provided that any laws currently in force may be amended or repealed by an act of parliament or be declared unconstitutional by a competent court.","Constituion","Constituion","85","en","Provided that any laws currently in force may be amended or repealed by an act of parliament or be declared unconstitutional by a competent court.",0.139197453096108
"1220","for the purposes of this constitution the first national assembly after the date of commencement of this constitution shall be composed of those persons successfully elected to the national assembly in accordance with the act of parliament then in force for the election of members of the national assembly.","Constituion","Constituion","85","en","For the purposes of this constitution the first national assembly after the date of commencement of this constitution shall be composed of those persons successfully elected to the national assembly in accordance with the act of parliament then in force for the election of members of the national assembly.",0.196264488529742
"1416","for the purposes of this constitution the first president after the date of commencement of this constitution shall be the person successfully elected in accordance with the act of parliament then in force for the election of a person to the office of president.","Constituion","Constituion","85","en","For the purposes of this constitution the first president after the date of commencement of this constitution shall be the person successfully elected in accordance with the act of parliament then in force for the election of a person to the office of president.",0.20185431833793
"1624","the high court shall have the same jurisdiction, powers and procedures as before the commencement of this constitution, subject to amendment or repeal of such powers by an act of parliament in accordance with this constitution.","Constituion","Constituion","85","en","The high court shall have the same jurisdiction, powers and procedures as before the commencement of this constitution, subject to amendment or repeal of such powers by an act of parliament in accordance with this constitution.",0.170008233170654
"1816","1. all legal actions which, at the commencement of this constitution, are pending or being undertaken before any court other than before the supreme court of appeal, the high court, a magistrate court, a district traditional appeal court, district traditional court, a grade a traditional court, or a gradetraditional court shall be commenced or continued before the high court of malawi or before such magistrates court or district traditional appeal court or district traditional court or grade a traditional court or gradetraditional court as the registrar of the high court shall direct.","Constituion","Constituion","85","en","1. All legal actions which, at the commencement of this constitution, are pending or being undertaken before any court other than before the supreme court of appeal, the high court, a magistrate court, a district traditional appeal court, district traditional court, a grade a traditional court, or a gradetraditional court shall be commenced or continued before the high court of malawi or before such magistrates court or district traditional appeal court or district traditional court or grade a traditional court or gradetraditional court as the registrar of the high court shall direct.",0.144952401114006
"325","2. all legal actions which, at the commencement of this constitution, are pending or being undertaken before any magistrate court shall be commenced or continued before that court which shall have the same jurisdiction, powers and procedures as before the commencement of this constitution subject to amendment or repeal of such powers by an act of parliament.","Constituion","Constituion","86","en","2. All legal actions which, at the commencement of this constitution, are pending or being undertaken before any magistrate court shall be commenced or continued before that court which shall have the same jurisdiction, powers and procedures as before the commencement of this constitution subject to amendment or repeal of such powers by an act of parliament.",0.167490358925931
"430","3. all legal actions which, at the commencement of this constitution, are pending or being undertaken before a district traditional appeal court, a district traditional court, a grade a traditional court or a gradetraditional court before the commencement of this constitution shall be commenced or continued before that court which shall have the same jurisdiction, powers and procedures as before the commencement of this constitution subject to amendment or repeal of such powers by an act of parliament.","Constituion","Constituion","86","en","3. All legal actions which, at the commencement of this constitution, are pending or being undertaken before a district traditional appeal court, a district traditional court, a grade a traditional court or a gradetraditional court before the commencement of this constitution shall be commenced or continued before that court which shall have the same jurisdiction, powers and procedures as before the commencement of this constitution subject to amendment or repeal of such powers by an act of parliament.",0.189747500664313
"525","4. appeals against the decisions of a district traditional appeal court or a district traditional court shall lie to the high court which, in hearing such appeals, may sit with assessors appointed in accordance with an act of parliament.","Constituion","Constituion","86","en","4. Appeals against the decisions of a district traditional appeal court or a district traditional court shall lie to the high court which, in hearing such appeals, may sit with assessors appointed in accordance with an act of parliament.",0.15779488523027
"823","20 5. judgments and sentences pending execution all judgments or sentences pending execution shall be executed as if such judgments or sentences were ordered in accordance with this constitution provided that where the constitution provides new grounds for appeal, any such appeal shall act as a stay of execution and the appeal shall be to the high court.","Constituion","Constituion","86","en","205. Judgments and sentences pending execution all judgments or sentences pending execution shall be executed as if such judgments or sentences were ordered in accordance with this constitution provided that where the constitution provides new grounds for appeal, any such appeal shall act as a stay of execution and the appeal shall be to the high court.",0.148472172894935
"1417"," provided that where this constitution has created an office with a different designation, but an equivalent function is exercised by an office existing at the time of the date of the commencement of this constitution, a person occupying that office shall, from the date of commencement of this constitution, have such powers, functions and designation as is prescribed for the equivalent office created by this constitution.","Constituion","Constituion","86","en","Provided that where this constitution has created an office with a different designation, but an equivalent function is exercised by an office existing at the time of the date of the commencement of this constitution, a person occupying that office shall, from the date of commencement of this constitution, have such powers, functions and designation as is prescribed for the equivalent office created by this constitution.",0.173342506929878
"1520","2. for the purposes of section 5 2 and section 8 11, and only for that purpose, the person who at the commencement of this constitution is holding the office of chief justice shall be deemed to be appointed under this constitution as chief justice.","Constituion","Constituion","86","en","2. For the purposes of section 52 and section 811, and only for that purpose, the person who at the commencement of this constitution is holding the office of chief justice shall be deemed to be appointed under this constitution as chief justice.",0.259887763902091
"1722","subject to the provisions of this constitution, all lands and territories of malawi are vested in the republic.","Constituion","Constituion","86","en","Subject to the provisions of this constitution, all lands and territories of malawi are vested in the republic.",0.166244814065627
"431","20 8. savings of rights of government in property the government shall have title to all rights in property which are vested in the government of malawi on the date of the commencement of this constitution save as otherwise provided by section 20 9 2 and provided that the disposal of rights in property where title is vested in the government shall be made in accordance with an act of parliament.","Constituion","Constituion","87","en","208. Savings of rights of government in property the government shall have title to all rights in property which are vested in the government of malawi on the date of the commencement of this constitution save as otherwise provided by section 209 2 and provided that the disposal of rights in property where title is vested in the government shall be made in accordance with an act of parliament.",0.262719621035727
"623","1. all persons who have rights in property at the date of the commencement of this constitution shall continue to have such rights under this constitution and any other law.","Constituion","Constituion","87","en","1. All persons who have rights in property at the date of the commencement of this constitution shall continue to have such rights under this constitution and any other law.",0.185751979162098
"1123","3. for the purposes of this section government shall mean the president, the cabinet, the ministries, other organs of the president and cabinet and their agents, including individuals and bodies under the authority of the president, the cabinet or the ministries.","Constituion","Constituion","87","en","3. For the purposes of this section government shall mean the president, the cabinet, the ministries, other organs of the president and cabinet and their agents, including individuals and bodies under the authority of the president, the cabinet or the ministries.",0.279500375045892
